Item,Item Description,Planner,Order Type,Order#,Ln#,Ordered Date,Line Creation Date,Line Update Date,Request Date,Schedule Date,Promise Date,Open_Qty,Price,Extended Price,Item Cost ,Material_Cost,Material_OH_Cost,Resource_Cost,Overhead_Cost,OSP_Cost,Customer Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4
YT327909-911,LFR AXB108 73.75 - 72.63 1PK CRATE AMTRAK GE,3,YTS-DOMESTIC,563909.0,1.0,2021-04-12,2021-04-12,2021-04-13,2021-05-17,2021-06-23,2021-06-23,2.0,9831.0,19662.0,10473.3379,6738.28978,,701.94331,3033.10481,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,
YT327909-911,LFR AXB108 73.75 - 72.63 1PK CRATE AMTRAK GE,3,YTS-DOMESTIC,563918.0,1.0,2021-04-13,2021-04-13,2021-04-19,2021-04-23,2021-06-23,2021-06-23,2.0,9831.0,19662.0,10473.3379,6738.28978,,701.94331,3033.10481,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,
YT340377,SCREEN ASM HDR - GMLG 9337310,KU,YTS-DOMESTIC,563877.0,1.0,2021-04-12,2021-04-12,2021-04-13,2021-04-14,2021-05-05,2021-05-05,1.0,1075.0,1075.0,569.75,569.75,,,,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT344444-810,LFR AXB106 BANK XP PAL/PLY - FINAL ASSEMBLY10636036,3,YTS-DOMESTIC,563390.0,1.0,2021-02-16,2021-02-16,2021-02-19,2021-06-08,2021-06-04,2021-06-04,2.0,9995.0,19990.0,5845.74863,3991.20918,,343.62266,1510.91679,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT344445-810,LFR AXB106 BANK XP PAL/PLY - FINAL ASSEMBLY 10636037,3,YTS-DOMESTIC,563391.0,1.0,2021-02-16,2021-02-16,2021-02-19,2021-05-10,2021-05-05,2021-05-05,2.0,9995.0,19990.0,5841.24145,3991.20918,,342.63832,1507.39395,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT348639,HOSE CONN - 15.50 LG,HO,YTS-INTERNATIONAL,563634.0,1.0,2021-03-11,2021-03-11,2021-04-07,2021-09-20,2021-07-21,2021-07-21,6.0,42.17,253.02,32.9,32.9,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT348639,HOSE CONN - 15.50 LG,HO,YTS-INTERNATIONAL,563604.0,1.0,2021-03-10,2021-03-10,2021-04-07,2021-10-19,2021-08-13,2021-08-13,6.0,42.17,253.02,32.9,32.9,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT348639,HOSE CONN - 15.50 LG,HO,YTS-INTERNATIONAL,563642.0,1.0,2021-03-11,2021-03-11,2021-04-07,2021-12-17,2021-10-13,2021-10-13,6.0,42.17,253.02,32.9,32.9,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT348640-816,TUBE CONN ASY 112.27L,SV,YTS-INTERNATIONAL,562747.0,1.0,2020-11-23,2020-11-23,2021-04-07,2021-09-20,2021-07-15,2021-07-15,3.0,43.7,131.1,34.09584,22.4,,2.55431,9.14153,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT348709,PIPE .38 SCH40 - ASTM A-53TPE STL WLD 2.50,PI,YTS-INTERNATIONAL,563613.0,1.0,2021-03-10,2021-03-10,2021-03-10,2021-07-21,2021-05-17,2021-05-17,35.0,3.18,111.3,2.475,2.475,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT348709,PIPE .38 SCH40 - ASTM A-53TPE STL WLD 2.50,PI,YTS-INTERNATIONAL,563645.0,1.0,2021-03-11,2021-03-11,2021-04-07,2021-09-20,2021-07-15,2021-07-15,35.0,3.18,111.3,2.475,2.475,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT351987,GASKET HEADER - 33.75 10.50 .062 TN9000,GK,YTS-DOMESTIC,563656.0,1.0,2021-03-15,2021-03-15,2021-03-16,2021-04-19,2021-04-14,2021-04-14,18.0,33.0,594.0,16.02,16.02,,,,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT351987,GASKET HEADER - 33.75 10.50 .062 TN9000,GK,YTS-DOMESTIC,563519.0,1.0,2021-03-02,2021-03-02,2021-03-04,2021-04-06,2021-04-15,2021-04-15,12.0,33.0,396.0,16.02,16.02,,,,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT351987,GASKET HEADER - 33.75 10.50 .062 TN9000,GK,YTS-DOMESTIC,563786.0,1.0,2021-03-30,2021-03-30,2021-04-01,2021-05-05,2021-04-29,2021-04-29,1.0,33.0,33.0,16.02,16.02,,,,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT361482-800,LFR AXB 108 RH AW - 40099051 STD PALLET - FINAL ASSEMBLY,3,YTS-DOMESTIC,563896.0,1.0,2021-04-12,2021-04-12,2021-04-20,2021-05-05,2021-05-21,2021-05-19,5.0,4235.0,33645.0,6912.50309,5034.08598,,344.34571,1534.0714,,PROGRESS RAIL LOCOMOTIVE INC.,3500 S. Cowan Road,"Muncie,IN 47302 - US",,
YT361482-800,LFR AXB 108 RH AW - 40099051 STD PALLET - FINAL ASSEMBLY,3,YTS-DOMESTIC,563896.0,2.0,2021-04-12,2021-04-20,2021-04-20,2021-05-05,2021-06-16,2021-06-18,3.0,4235.0,20187.0,6912.50309,5034.08598,,344.34571,1534.0714,,PROGRESS RAIL LOCOMOTIVE INC.,3500 S. Cowan Road,"Muncie,IN 47302 - US",,
YT361482-800,LFR AXB 108 RH AW - 40099051 STD PALLET - FINAL ASSEMBLY,3,YTS-DOMESTIC,563895.0,1.0,2021-04-12,2021-04-12,2021-04-20,2021-06-22,2021-06-16,2021-06-18,1.0,4235.0,6729.0,6912.50309,5034.08598,,344.34571,1534.0714,,PROGRESS RAIL LOCOMOTIVE INC.,3500 S. Cowan Road,"Muncie,IN 47302 - US",,
YT361483-800,LFR AXB 108 LH AW - 40099052 STD PALLET - FINAL ASSEMBLY,3,YTS-DOMESTIC,563898.0,1.0,2021-04-12,2021-04-12,2021-04-20,2021-05-05,2021-05-19,2021-05-21,5.0,4235.0,33645.0,6912.50309,5034.08598,,344.34571,1534.0714,,PROGRESS RAIL LOCOMOTIVE INC.,3500 S. Cowan Road,"Muncie,IN 47302 - US",,
YT361483-800,LFR AXB 108 LH AW - 40099052 STD PALLET - FINAL ASSEMBLY,3,YTS-DOMESTIC,563898.0,2.0,2021-04-12,2021-04-20,2021-04-20,2021-05-05,2021-06-16,2021-06-18,3.0,4235.0,20187.0,6912.50309,5034.08598,,344.34571,1534.0714,,PROGRESS RAIL LOCOMOTIVE INC.,3500 S. Cowan Road,"Muncie,IN 47302 - US",,
YT361483-800,LFR AXB 108 LH AW - 40099052 STD PALLET - FINAL ASSEMBLY,3,YTS-DOMESTIC,563897.0,1.0,2021-04-12,2021-04-12,2021-04-20,2021-06-22,2021-06-16,2021-06-18,1.0,4235.0,6729.0,6912.50309,5034.08598,,344.34571,1534.0714,,PROGRESS RAIL LOCOMOTIVE INC.,3500 S. Cowan Road,"Muncie,IN 47302 - US",,
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,563027.0,1.0,2021-01-06,2021-01-06,2021-04-01,2021-05-27,2021-05-21,2021-05-21,2.0,9148.0,31638.4,15935.13226,11514.25027,,829.34234,3591.53965,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,563328.0,1.0,2021-02-08,2021-02-08,2021-04-01,2021-06-29,2021-06-25,2021-06-25,2.0,9148.0,31638.4,15935.13226,11514.25027,,829.34234,3591.53965,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,563871.0,1.0,2021-04-09,2021-04-09,2021-04-13,2021-08-30,2021-08-26,2021-08-26,1.0,9148.0,15819.2,15935.13226,11514.25027,,829.34234,3591.53965,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT363694-805,LFR AXB 104 AXB 116 LH STD PAL/PLY - FINAL ASSEMBLY 10665562,3,YTS-DOMESTIC,563724.0,1.0,2021-03-24,2021-03-24,2021-04-01,2021-07-29,2021-07-23,2021-07-23,1.0,9148.0,15818.82,15933.28226,11512.40027,,829.34234,3591.53965,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT363856-901,CORE HDR SIDES AXB 104 AXB 116,3,YTS-DOMESTIC,563502.0,1.0,2021-03-01,2021-03-01,2021-04-01,2021-05-03,2021-04-30,2021-04-30,2.0,7904.0,22042.0,7546.19764,5462.96987,,390.87732,1692.35045,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT363856-901,CORE HDR SIDES AXB 104 AXB 116,3,YTS-DOMESTIC,563818.0,1.0,2021-04-06,2021-04-06,2021-04-08,2021-06-07,2021-06-02,2021-06-02,3.0,7904.0,33063.0,7546.19764,5462.96987,,390.87732,1692.35045,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT403658-AC-811,CORE YTF 104 YTF 105 - FB 111.25 50.00 STD CRATE,3,YTS-INTERNAL,110870.0,1.0,2021-02-24,2021-02-25,2021-03-11,2021-03-10,2021-04-29,2021-04-21,10.0,7919.38716,79193.8716,8528.27681,6075.64699,,422.88957,1820.74025,209.0,WABCO-KANSAS CITY SERVICE CENTER,4800 DERAMUS,(JAX),"KANSAS CITY,MO 64120 - US",
YT404601-250,"3/8-16 GR8 FLANGED BOLT - 2.50"" LONG",FS2,YTS-INTERNATIONAL,563986.0,1.0,2021-04-20,2021-04-20,2021-04-20,2021-08-20,2021-06-16,2021-06-16,400.0,1.25,500.0,0.2656,0.2656,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,GCR-CONTAGEM REMAN NC,AV. GENERAL DAVID SARNOFF,"CONTAGEM, 32210-110 - BR",
YT413234-805,RAD ASY AXB 118 EMD P/N 40117394 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,563900.0,1.0,2021-04-12,2021-04-12,2021-04-20,2021-05-05,2021-05-27,2021-05-28,8.0,4945.0,62200.0,8139.08818,5335.306,,496.9055,2306.87668,,PROGRESS RAIL LOCOMOTIVE INC.,3500 S. Cowan Road,"Muncie,IN 47302 - US",,
YT413234-805,RAD ASY AXB 118 EMD P/N 40117394 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,563899.0,1.0,2021-04-12,2021-04-12,2021-04-20,2021-06-22,2021-06-23,2021-06-25,2.0,4945.0,15550.0,8139.08818,5335.306,,496.9055,2306.87668,,PROGRESS RAIL LOCOMOTIVE INC.,3500 S. Cowan Road,"Muncie,IN 47302 - US",,
YT413234-805,RAD ASY AXB 118 EMD P/N 40117394 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,563900.0,2.0,2021-04-12,2021-04-20,2021-04-20,2021-05-05,2021-06-23,2021-06-25,8.0,4945.0,62200.0,8139.08818,5335.306,,496.9055,2306.87668,,PROGRESS RAIL LOCOMOTIVE INC.,3500 S. Cowan Road,"Muncie,IN 47302 - US",,
YT416004,RAD YTF 108 NEW FLYER LAS VEGAS - FINAL ASSEMBLY,3,YTS-INTERNATIONAL,563494.0,1.0,2021-02-26,2021-02-26,2021-03-12,2021-05-28,2021-05-25,2021-05-25,1.0,3480.0,3480.0,2232.32479,896.22056,,252.76556,1078.20927,5.1294,THE AFTERMARKET PARTS COMPANY LLC,NFI PARTS MB1 CONSOLIDATE,C/O FRONTIER SUPPLY COMPANY,"Itasca,IL 60143 - US",
YT416558-6,PIPE TO JIC 90 FITTING 2501-08-06,HO,YTS-INTERNATIONAL,563939.0,1.0,2021-04-16,2021-04-16,2021-04-16,2021-08-20,2021-06-16,2021-06-16,50.0,2.16,108.0,1.68,1.68,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,GCR-CONTAGEM REMAN NC,AV. GENERAL DAVID SARNOFF,"CONTAGEM, 32210-110 - BR",
YT417220,OIL COOLER API 672-0074,AC,YTS-DOMESTIC,563861.0,1.0,2021-04-08,2021-04-08,2021-04-13,2021-04-27,2021-04-20,2021-04-20,1.0,1297.0,1297.0,778.0,778.0,,,,,THE AFTERMARKET PARTS COMPANY LLC,3181 SOUTH WILLOW AVENUE,SUITE 102,"FRESNO,CA 93725 - US",
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,563367.0,1.0,2021-02-12,2021-02-12,2021-04-08,2021-07-26,2021-05-07,2021-05-20,5.0,7097.45,35487.25,5574.16261,3833.56907,,323.7767,1416.81684,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,563366.0,1.0,2021-02-12,2021-02-12,2021-04-08,2021-08-03,2021-05-07,2021-05-20,7.0,7097.45,49682.15,5574.16261,3833.56907,,323.7767,1416.81684,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,563081.0,1.0,2021-01-13,2021-01-13,2021-04-08,2021-07-09,2021-05-07,2021-05-07,8.0,7097.45,56779.6,5574.16261,3833.56907,,323.7767,1416.81684,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,563366.0,2.0,2021-02-12,2021-02-19,2021-04-08,2021-08-03,2021-05-14,2021-05-20,11.0,7097.45,78071.95,5574.16261,3833.56907,,323.7767,1416.81684,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,563347.0,1.0,2021-02-10,2021-02-10,2021-04-08,2021-07-26,2021-05-14,2021-05-20,5.0,7097.45,35487.25,5574.16261,3833.56907,,323.7767,1416.81684,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,563348.0,1.0,2021-02-10,2021-02-10,2021-04-08,2021-08-03,2021-05-14,2021-05-20,4.0,7097.45,28389.8,5574.16261,3833.56907,,323.7767,1416.81684,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,563348.0,2.0,2021-02-10,2021-02-19,2021-04-08,2021-08-03,2021-05-20,2021-05-20,14.0,7097.45,99364.3,5574.16261,3833.56907,,323.7767,1416.81684,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,563190.0,1.0,2021-01-25,2021-01-25,2021-04-08,2021-07-21,2021-05-20,2021-05-20,8.0,7097.45,56779.6,5574.16261,3833.56907,,323.7767,1416.81684,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,563674.0,1.0,2021-03-16,2021-03-16,2021-04-08,2021-09-09,2021-06-18,2021-06-21,5.0,7097.45,35487.25,5574.16261,3833.56907,,323.7767,1416.81684,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,563843.0,1.0,2021-04-07,2021-04-07,2021-04-08,2021-09-29,2021-07-09,2021-07-09,8.0,7097.45,56779.6,5574.16261,3833.56907,,323.7767,1416.81684,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT419702-816,BANK SPACER 11.75 52.82 14G,SV,YTS-INTERNATIONAL,563630.0,1.0,2021-03-11,2021-03-11,2021-03-16,2021-08-20,2021-06-16,2021-06-16,20.0,16.3,326.0,12.71668,8.6205,,0.72646,3.36972,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT422714,GASKET 9.00 58.50 .062 METALTECH CS-830,RPD,YTS-DOMESTIC,563846.0,1.0,2021-04-08,2021-04-08,2021-04-08,2021-04-23,2021-04-23,2021-04-28,2.0,0.0,0.0,11.8438,11.8438,,,,,YOUNG TOUCHSTONE,200 SMITH LANE,P.O. BOX 7568,"Jackson,TN 38302-7568 - US",
YT423507-803,CAT 795F SBRA 1013 MINING TRUCK ATAAC XP CRATE - FINAL ASSEMBLY,3,YTS-PARTS-DOMESTIC,563682.0,1.0,2021-03-17,2021-03-17,2021-04-01,2021-06-08,2021-06-07,2021-06-08,4.0,9741.0,47444.0,7532.8546,4782.32228,,523.96018,2226.57212,2e-05,CATERPILLAR INC,CLAYTON OHIO INBOUND PROCESSING CTR,6611 HOKE ROAD,"Clayton,OH 45315 - US",
YT425663-815,CAT 793 CAC SBRA 0613 RET RACK - FINAL ASSEMBLY,3,YTS-DOMESTIC,563750.0,1.0,2021-03-26,2021-03-26,2021-04-01,2021-05-17,2021-05-17,2021-05-17,4.0,6145.0,29788.0,5193.59102,3263.2445,,360.85174,1569.49476,2e-05,CATERPILLAR INC,27TH & HUBBARD AVE DT1308,GATE 3 DOCK 8,"Decatur,IL 62526 - US",
YT426744-AB-803,CORE SBRA 1015 - SC 67.17 55.15 XP CRATE,3,YTS-DOMESTIC,563401.0,1.0,2021-02-18,2021-02-18,2021-04-03,2021-04-27,2021-04-19,2021-04-27,1.0,10532.0,10570.0,6978.24596,4926.19138,,380.89791,1671.15667,,CATERPILLAR INC,CLAYTON OHIO INBOUND PROCESSING CTR,6611 HOKE ROAD,"Clayton,OH 45315 - US",
